Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-6.61496605635191E-20,0.25,-5.85635023437615E-19,0,0,0,2.89269908169872,0.0816417751742525,-9.59970673554874E-20,1.12937726300573E-20,0.0029314159014156,-5.29395592033938E-20,0.083367899791627,0,0,0,0,0,0,package://ARMvertical/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://ARMvertical/meshes/base_link.STL,,1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.16,0,7.8450145613333E-18,0,0,0,2.09269908169872,0.00458895642020566,-2.22755641865369E-18,8.98870975313248E-19,0.0295487195783596,-3.12210884956261E-19,0.0282839703436107,0,0,0,0,0,0,package://ARMvertical/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://ARMvertical/meshes/link1.STL,,2-1,Origin_joint1,Axis_joint1,joint1,revolute,0,0,0.5,-1.5708,0,3.1416,base_link,0,0,1,23.7,30,-3.14,3.14,,,,,,,,
link2,0.1925,2.73852122139374E-18,0,0,0,0,2.31769908169872,0.00233245756808227,-1.10111797951753E-18,-6.1081025868386E-18,0.0436330896149884,-1.57154690926001E-20,0.042266339997614,0,0,0,0,0,0,package://ARMvertical/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://ARMvertical/meshes/link2.STL,,3-1,Origin_joint2,Axis_joint2,joint2,revolute,0.32,0,0,-1.5708,0,0,link1,0,1,0,23.7,30,-3.14,3.14,,,,,,,,
link3,-0.179,5.55111512312578E-17,-2.9986527615642E-17,0,0,0,2.47269908169872,0.00522228975353901,-4.5812344192102E-19,-2.91167575618666E-18,0.0382538543635812,5.09897919989501E-19,0.0369891051288322,0,0,0,0,0,0,package://ARMvertical/meshes/link3.STL,1,1,1,1,0,0,0,0,0,0,package://ARMvertical/meshes/link3.STL,,4-1,Origin_joint3,Axis_joint3,joint3,revolute,0.385,0,0,-1.5708,0,3.1416,link2,0,0,1,23.7,30,-3.14,3.14,,,,,,,,
