Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,0,0,0.25,0,0,0,2.89269908169872,0.0816417751742525,2.35098870164458E-36,-7.15148590763729E-21,0.083367899791627,0,0.0029314159014156,0,0,0,0,0,0,package://zwzArm/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://zwzArm/meshes/base_link.STL,,1-1,坐标系5,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.16,6.66941865451896E-16,1.11022302462516E-16,0,0,0,2.09269908169872,0.00458895642020568,-4.2351647362715E-18,3.90142893814097E-18,0.0282839703436107,2.25382207098483E-19,0.0295487195783597,0,0,0,0,0,0,package://zwzArm/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://zwzArm/meshes/link1.STL,,2-1,坐标系1,基准轴1,joint1,continuous,0,0,0.5,0,0,0,base_link,0,-1,0,20,30,,,,,,,,,,
link2,0.1925,5.60895809597873E-16,-1.11022302462516E-16,0,0,0,2.31769908169873,0.00233245756808228,2.66184338622923E-17,-1.22851142249759E-17,0.0436330896149885,-1.62130707098142E-19,0.042266339997614,0,0,0,0,0,0,package://zwzArm/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://zwzArm/meshes/link2.STL,,3-1,坐标系3,基准轴2,joint2,continuous,0.32,0,0,0,0,0,link1,0,-1,0,20,30,,,,,,,,,,
link3,0.179,4.11553069581978E-16,-1.11022302462516E-16,0,0,0,2.47269908169873,0.00522228975353902,1.59348073202215E-17,1.66052940727083E-17,0.0369891051288323,2.38592948729878E-19,0.0382538543635812,0,0,0,0,0,0,package://zwzArm/meshes/link3.STL,1,1,1,1,0,0,0,0,0,0,package://zwzArm/meshes/link3.STL,,4-1,坐标系4,基准轴3,joint3,continuous,0.385,0,0,0,0,0,link2,0,-1,0,20,30,,,,,,,,,,
